Category Name,Sales
Fishing,6929653.690575
Cleats,4431942.78318506
Camping & Hiking,4118425.571019
Cardio Equipment,3694843.19662996
Women's Apparel,3147800.0
Water Sports,3113844.684858
Men's Footwear,2891757.6623529997
Indoor/Outdoor Games,2888993.9135055
Shop By Sport,1309522.04145468
Computers,663000.0
Electronics,371034.64318789
Cameras ,267607.685032
Garden,257768.72827639998
Children's Clothing,232829.20397719997
Crafts,223356.325324
Girls' Apparel,151706.2006334
Women's Clothing,140283.00474499998
Accessories,133671.50882501
Sporting Goods,117006.75
Golf Gloves,116695.390422906
Music,113122.09735260002
Consumer Electronics,108991.2821119
Golf Shoes,107998.0
Health and Beauty,106080.483077
Kids' Golf Clubs,98797.57923373
Baseball & Softball,94057.15254254
Boxing & MMA,85205.4110869
DVDs,79395.5423667
Golf Balls,77098.15904223
Trade-In,68721.77975241
Hunting & Shooting,56848.42007216
Strength Training,54895.529536400005
Hockey,48360.729735400004
Men's Golf Clubs,47035.80051772
Tennis & Racquet,44585.09062432
Women's Golf Clubs,44545.9701316
Men's Clothing,43856.8012688
Pet Supplies,41524.80075276
Lacrosse,39464.78979349
Fitness Accessories,35601.44054358
Golf Apparel,34969.75003881
Video Games,33310.5
Basketball,27099.3293434
Soccer,26477.0498373
As Seen on  TV!,20597.93996418
Books ,12587.3999676
Baby ,12229.56037881
Golf Bags & Carts,10369.3903355
Toys,6104.65997884
CDs ,3059.5899891599997
