Customer Id,total_orders,total_quantity,total_sales,cluster
1,1,5,499.9500122,1
2,4,19,1819.73003386,2
3,5,33,3537.68009381,2
4,4,34,1719.63002967,2
5,3,18,1274.75002288,2
6,4,47,3259.51002486,2
7,7,47,5569.48010644,0
8,8,55,3763.5000419,0
9,5,28,3229.68005555,2
10,2,27,1264.79001226,2
11,4,34,2429.6500397600003,2
12,8,61,6009.3501015,0
13,4,33,3185.62006955,2
14,7,25,2414.72003184,2
15,1,3,239.98000718,1
16,6,28,2349.77002714,2
17,5,31,4259.6601105,2
18,6,32,3519.6000672,2
19,8,52,4355.62007918,0
20,4,23,1589.77005,2
21,4,38,2836.69007108,2
22,5,35,2744.6800461,2
23,6,51,4141.38005816,0
24,4,37,2769.47002792,2
25,2,8,929.8700104,1
26,5,19,3209.80008706,2
27,4,32,2065.66000368,2
28,4,20,2159.76002128,2
29,2,13,1329.8700409,1
30,2,16,1105.89002425,1
31,6,56,3774.55005634,0
32,5,39,3409.51004217,2
33,2,12,1229.87003708,1
34,7,29,2989.68006526,2
35,4,23,2313.82004548,2
36,2,9,1389.8800507,1
37,3,20,1329.76002124,2
38,6,32,2649.74005516,2
39,5,34,2934.70006185,2
40,7,38,5253.62011732,0
41,4,24,2931.65006833,2
42,7,32,3289.6600418,0
43,2,13,1159.8300247,1
44,6,27,2989.740078,2
45,5,29,3329.7400742,2
46,5,41,3887.62009048,0
47,1,9,679.9600067,1
48,4,39,3509.6200561,2
49,3,15,1359.78001404,2
50,4,26,2009.65002061,2
51,7,49,4513.43006532,0
52,4,23,2119.77005,2
53,6,42,4689.48011408,0
54,5,33,3109.68006908,2
55,6,50,4763.4000778399995,0
56,5,30,2529.7000656,2
57,5,25,2159.70003898,2
58,8,69,6615.16012588,0
59,6,21,1869.75003816,2
60,3,29,1859.57000352,2
61,3,27,1714.7500457800002,2
62,4,13,1749.83004386,2
63,4,22,1829.79003904,2
64,3,15,1404.8700409,2
65,6,35,3975.62008294,0
66,5,35,3809.54009254,2
67,2,17,1887.7700501,2
68,3,22,1609.79002758,2
69,5,22,1651.8100358,2
70,5,46,3309.49005496,2
71,7,44,2987.73005297,0
72,6,39,5274.53013244,0
73,4,30,2719.730053,2
74,5,41,3349.56004332,2
75,4,19,2549.77004248,2
76,5,42,3329.65005492,2
77,7,34,3142.72007947,0
78,1,4,309.9600067,1
79,5,37,3674.6800881199997,2
80,4,20,2259.7800408,2
81,1,2,431.97001077,1
82,4,29,2674.54004105,2
83,4,40,2879.60004225,2
84,4,26,2929.74006276,2
85,4,24,1929.70002758,2
86,5,17,1469.87001414,2
87,3,21,2474.69005972,2
88,5,28,2499.68004992,2
89,4,18,1299.76001356,2
90,5,38,3094.81006628,2
91,4,36,3343.7300643999997,2
92,6,38,2787.5500222,2
93,5,15,2069.84006124,2
94,5,29,2789.59005734,2
95,7,38,3282.63007923,0
96,4,26,2789.72006998,2
97,4,18,2514.80005276,2
98,7,61,4379.48007564,0
99,6,34,2839.70006566,2
100,6,45,4104.57009122,0
101,4,15,2079.79004668,2
102,4,39,3319.59004208,2
103,4,27,3179.71007164,2
104,1,2,599.960022,1
105,4,11,1379.92003636,2
106,3,22,1409.8400268,2
107,4,24,2009.63005824,2
108,5,23,2289.70005028,2
109,7,55,4259.6100769,0
110,3,26,2639.7000427,2
111,3,16,1639.78003314,2
112,7,31,3184.68007287,2
113,5,21,1658.75003056,2
114,4,28,2904.73007013,2
115,1,6,1079.9200286999999,1
116,2,7,324.9499969,1
117,2,11,429.90000918,1
118,5,41,2699.51001742,2
119,7,32,3439.7400743,0
120,4,29,2079.58004768,2
121,2,10,809.85001758,1
122,5,21,1996.75004966,2
123,8,55,6389.32015618,0
124,5,29,3399.74007046,2
125,6,32,2056.6200142,2
126,6,35,2569.7100373,2
127,3,22,1459.73002626,2
128,2,6,449.88999939999997,1
129,3,31,2877.72005088,2
130,2,8,779.95001608,1
131,3,29,1623.71000662,2
132,2,13,1479.82004164,1
133,4,24,1759.72002024,2
134,5,27,2625.66003231,2
135,1,1,299.980011,1
136,3,17,1614.83002275,2
137,6,31,2849.62005624,2
138,5,22,2419.80005648,2
139,6,32,3589.59008418,2
140,6,42,4699.43013776,0
141,7,37,3979.59008422,0
142,5,50,5625.47013107,0
143,1,6,749.8900146999999,1
144,2,7,979.9500275,1
145,5,32,2445.6600342,2
146,7,30,2329.64003374,2
147,1,5,249.8999939,1
148,3,20,2009.7300415,2
149,4,31,3249.73007584,2
150,5,28,2629.77006916,2
151,4,21,2525.79004676,2
152,3,24,1709.710022,2
153,2,9,1269.90002068,1
154,8,71,6889.3601723,0
155,4,31,2389.73001866,2
156,3,13,1939.7900390999998,2
157,3,22,2206.83004002,2
158,1,13,729.9000091,1
159,3,16,1289.880010551,2
160,4,20,2139.8200493,2
161,5,36,2569.7000426600002,2
162,2,21,1619.79004477,2
163,2,10,889.8400116,1
164,4,22,2594.69004452,2
165,5,40,4089.54009637,0
166,2,12,864.91001508,1
167,1,2,329.980011,1
168,7,36,3229.7100602,0
169,3,13,2809.85007486,2
170,4,23,1974.7900467,2
171,3,16,1329.8400231,2
172,8,86,6591.23010634,0
173,8,66,5779.3301067699995,0
174,9,49,5154.40013506,0
175,6,41,4444.57010656,0
176,3,42,2379.59001906,2
177,1,2,599.9700164999999,1
179,3,18,1919.85004426,2
180,4,38,3119.54002772,2
181,6,48,3536.44005775,0
182,5,48,3608.58004368,0
183,1,13,689.8700065400001,1
184,5,30,2319.72003938,2
185,4,29,1739.7600288400001,2
186,2,13,1329.91003422,1
187,6,54,4629.49011992,0
188,6,33,2709.64002996,2
189,2,23,1909.8200378000001,2
190,5,50,3863.51008234,0
191,8,42,3389.62008664,0
192,7,57,4994.43006335,0
193,2,13,819.87001034,1
194,7,71,5851.28008083,0
195,2,12,1335.8200226,1
196,4,40,3204.42003067,2
197,9,62,6423.33013544,0
198,6,24,2464.67003632,2
199,6,37,3624.45008088,0
200,2,21,1363.74998864,1
201,2,4,169.9700012,1
202,4,32,1885.71003342,2
203,6,42,4419.66009154,0
204,4,29,2006.7700156199999,2
205,5,39,3984.53007325,0
206,7,32,3599.6500740399997,0
207,7,62,4533.50005342,0
208,2,12,1404.90003208,1
209,5,40,3199.52005388,2
210,7,49,3413.55005437,0
211,3,15,1419.78001022,2
212,3,13,1099.93002131,1
213,5,36,3219.59006116,2
214,7,41,3512.59007456,0
215,6,31,3618.65009698,2
216,3,28,2409.71004878,2
217,4,31,2540.74007613,2
218,4,26,2549.8600541,2
220,2,13,1349.81003948,1
221,13,88,6378.47006984,0
222,8,39,4294.69009223,0
223,5,42,3583.56009298,2
224,7,43,4341.59008617,0
225,5,45,3577.63008882,0
226,5,31,2199.75002674,2
227,3,15,1509.87004474,2
228,5,33,4099.72008898,2
229,6,37,3419.5800743199998,2
230,7,52,6648.4201624,0
231,4,24,1859.78003314,2
232,4,33,2519.85004808,2
233,5,25,3989.67007844,2
234,3,23,2024.7700385599999,2
235,4,40,2847.59006118,2
236,4,38,3779.6400833,2
237,2,9,969.9100266,1
238,7,76,5756.34009368,0
239,4,14,1539.85004428,2
240,3,10,991.8700295199999,1
241,7,58,5352.38008126,0
242,7,31,5009.63013468,0
243,4,30,2549.61004262,2
244,4,39,2804.64004516,2
245,6,56,5202.36010179,0
246,3,15,1719.82004554,2
247,6,43,4834.49010468,0
248,6,33,3039.57005326,2
249,3,24,2069.7300262,2
250,3,18,1619.83003616,2
251,5,19,1601.9200135,2
252,5,41,4694.64012731,0
253,1,6,309.88999558,1
254,8,45,4939.4401398,0
255,5,49,3355.63003541,0
256,10,58,4169.48007202,0
257,6,42,3809.46007168,0
258,6,48,3409.6101036,0
259,7,52,4617.5700875,0
260,5,23,3029.7900849,2
261,3,21,1799.8600311,2
262,5,21,2209.82006092,2
263,1,6,687.9700164999999,1
264,4,23,2089.78005598,2
265,4,8,1529.88004694,2
266,6,35,2854.62005228,2
267,4,16,1479.83002858,2
268,4,13,1881.85003863,2
269,2,9,1479.8300324,1
270,5,29,4069.59010326,2
271,4,29,2929.6100654399997,2
272,10,46,4449.5900936709995,0
273,4,20,2269.76005556,2
274,4,19,1619.88002396,2
275,6,24,3649.7601014,2
276,6,37,3297.5500756399997,2
277,5,30,3447.70008858,2
278,1,6,759.93001178,1
279,4,17,1434.91002658,2
280,4,37,2839.64003763,2
281,4,14,1549.76003648,2
282,6,20,1689.77003488,2
283,4,50,3679.70005412,0
284,5,32,2654.6300354,2
285,8,40,4459.57011424,0
286,5,42,4119.44009786,0
287,5,23,3059.67007446,2
288,6,40,3454.59003836,0
289,6,41,4066.54008114,0
290,8,48,4684.43011303,0
291,5,36,6029.4801483,0
292,1,11,1164.88003158,1
293,5,20,2469.72006222,2
294,3,18,2439.7500611,2
295,3,10,1489.8700523799998,1
296,7,47,4559.4000740599995,0
297,6,43,3169.57007978,0
298,2,11,1089.88003542,1
299,2,10,1039.86001966,1
300,6,38,3638.46009456,0
301,3,18,1139.8700104,2
302,1,4,199.9199982,1
303,3,30,2879.61006156,2
304,2,16,1469.8000336,1
305,5,24,3289.7700845,2
306,4,19,2165.70003134,2
307,2,19,1261.79000856,1
308,7,50,4759.44007892,0
309,3,15,1559.8300437799999,2
310,3,19,1639.76003272,2
311,5,26,3314.80007176,2
312,5,30,3106.71006024,2
313,3,23,1868.80003734,2
314,6,42,3909.5600587,0
315,5,32,3304.55003356,2
316,5,27,2549.66006293,2
317,4,30,3369.61005408,2
318,4,38,3464.6600952,2
319,5,39,3409.6400680799998,2
320,4,31,1966.74003791,2
321,9,43,4397.46010222,0
322,2,6,669.93001938,1
323,4,22,1413.77003488,2
324,4,31,3284.7200776,2
325,3,16,1999.7800446,2
326,9,41,4939.49012396,0
327,5,46,3599.4700547,0
328,6,34,4517.5600950299995,0
329,8,60,4793.41009146,0
330,4,27,2309.78003705,2
331,5,37,3439.5400773,2
332,4,23,2189.6300468199997,2
333,5,19,2439.72003554,2
334,6,31,2014.71002957,2
335,10,50,5624.3401144399995,0
336,5,36,2989.70005991,2
337,4,22,2089.79006202,2
338,4,26,1909.790062,2
340,3,14,899.7900161800001,1
341,9,92,7516.0201378599995,0
342,6,44,4329.50010692,0
343,5,45,3654.66008374,0
344,3,22,2229.7400398199998,2
345,6,35,2989.68007663,2
346,3,19,1429.81002046,2
347,4,30,2347.63004877,2
348,3,34,2294.63001634,2
349,5,28,2609.630043,2
350,3,31,1759.69000252,2
351,7,46,4319.49008564,0
352,7,27,2266.73006824,2
353,5,18,3019.78006758,2
354,10,62,4693.51008232,0
355,3,26,1859.8200378,2
356,8,44,3159.44001398,0
357,6,30,2425.72007569,2
358,4,27,2699.75007248,2
359,5,39,4269.55008704,0
361,6,25,2279.8100434,2
362,1,5,1079.92003254,1
363,6,41,3364.55004876,0
364,9,57,5304.4001292699995,0
365,2,12,1179.86002348,1
366,4,37,3339.58006274,2
367,3,14,1179.7800293,1
368,5,40,4094.5601121,0
369,5,36,3339.71007938,2
370,6,25,2569.70004272,2
371,6,42,4919.7300415,0
372,2,16,1609.83000948,1
373,7,51,5257.54010778,0
374,5,34,3354.62007132,2
375,4,37,2390.65002822,2
376,7,52,4887.3801002,0
377,7,45,4473.44009024,0
378,4,27,2829.72007756,2
379,5,34,3209.59005368,2
380,5,24,1943.71003531,2
381,4,16,2529.74005902,2
382,5,30,4139.63999928,2
383,7,50,4739.51010914,0
384,5,39,3644.74007804,2
385,3,12,1229.8200379,1
386,2,17,1077.84002311,1
387,6,50,3369.34006877,0
388,7,43,5309.49014664,0
389,3,16,1129.78001784,2
390,4,35,3344.73005676,2
391,6,54,3302.67004396,0
392,4,15,1839.8100471399998,2
393,4,22,1639.79002386,2
394,6,51,4205.38003544,0
395,2,5,349.95000456,1
396,6,54,5049.26008986,0
397,4,30,2284.73004149,2
398,5,31,2499.8500215,2
399,2,11,979.8700104,1
400,5,34,3246.68006703,2
401,2,5,579.9500198999999,1
402,2,14,1469.79002764,1
403,4,17,1979.8000374,2
404,5,35,2198.66004562,2
405,3,22,1619.67000204,2
406,5,30,2309.73003388,2
407,4,41,3349.6200601,2
408,7,53,5039.53008277,0
409,6,44,2489.5800171700002,2
410,6,53,4220.39007556,0
411,4,35,3239.60005194,2
412,3,21,1740.77002143,2
413,1,7,669.9200134,1
415,4,33,3081.73004916,2
416,4,32,2729.7600555999998,2
417,2,10,859.90002251,1
