Order Month Period,Order Item Quantity
2015-01,11854
2015-02,10438
2015-03,12062
2015-04,11287
2015-05,11902
2015-06,11203
2015-07,11800
2015-08,11612
2015-09,11366
2015-10,11703
2015-11,11463
2015-12,11790
2016-01,11597
2016-02,10765
2016-03,11349
2016-04,11208
2016-05,11603
2016-06,11008
2016-07,11652
2016-08,11683
2016-09,11284
2016-10,11936
2016-11,11493
2016-12,11774
2017-01,11605
2017-02,11070
2017-03,11676
2017-04,11189
2017-05,11033
2017-06,10194
2017-07,11091
2017-08,11095
2017-09,10502
2017-10,2490
2017-11,2055
2017-12,2124
2018-01,2123
